,autor,categoria,frase
0,Blaise Pascal,Sociedad,"Prefiero equivocarme creyendo en un Dios que no existe, que equivocarme no creyendo en un Dios que existe. Porque si después no hay nada, evidentemente nunca lo sabré, cuando me hunda en la nada eterna; pero si hay algo, si hay Alguien, tendré que dar cuenta de mi actitud de rechazo."
1,Jean Jacques Rousseau,Sociedad,El hombre ha nacido libre y por doquiera se encuentra sujeto con cadenas.
2,Blaise Pascal,Naturaleza,Nuestra naturaleza está en movimiento. El reposo absoluto es la muerte.
3,Mahatma Gandhi,Defectos,"Quisiera sufrir todas las humillaciones, todas las torturas, el ostracismo absoluto y hasta la muerte, para impedir la violencia."
4,Gilbert Keith Chesterton,Miscelánea,"La única simplicidad que vale la pena de conservar es la del corazón, la simplicidad que acepta y goza."
5,Goethe,Pensamiento y razón,"Las ideas audaces son como piezas de ajedrez. Pueden ser vencidas, pero también pueden iniciar una partida victoriosa."
6,Emerson,Miscelánea,No me dejes caer en el vulgar error de soñar que soy perseguido cada vez que alguien me contradice.
7,Friedrich Nietzsche,Sociedad,"Un político divide a las personas en dos grupos: en primer lugar, instrumentos; en segundo, enemigos."
8,Platón,Sociedad,El más importante y principal negocio público es la buena educación de la juventud.
9,Jorge Luis Borges,Arte,La literatura no es otra cosa que un sueño dirigido.
10,Emerson,Pensamiento y razón,¿Cuál es la tarea más difícil del mundo? Pensar.
11,Aristóteles,Sociedad,"Se piensa que lo justo es lo igual, y así es; pero no para todos, sino para los iguales. Se piensa por el contrario que lo justo es lo desigual, y así es, pero no para todos, sino para los desiguales."
12,Baltasar Gracián,Miscelánea,"Saber olvidar, más es dicha que arte."
13,Goethe,Sentimientos,Bueno es tener la alegría en casa y no haber menester de buscarla fuera.
14,Aristóteles,Sociedad,No hace falta un gobierno perfecto; se necesita uno que sea práctico.
15,Benjamin Franklin,Sociedad,Los hombres son criaturas muy raras: la mitad censura lo que practica; la otra mitad practica lo que censura; el resto siempre dice y hace lo que debe.
16,Voltaire,Sentimientos,Conviene siempre esforzarse más en ser interesante que exacto; porque el espectador lo perdona todo menos el sopor.
17,George Bernard Shaw,Sentimientos,"El peor pecado hacia nuestros semejantes no es odiarlos, sino tratarlos con indiferencia: esa es la esencia de la inhumanidad."
18,José Ortega y Gasset,Naturaleza,"La vida es una serie de colisiones con el futuro; no es una suma de lo que hemos sido, sino de lo que anhelamos ser."
19,Victor Hugo,Sociedad,Dios es la evidencia invisible.
